#Ads.txt prepaidphonenews.com
google.com, pub-9934186101027033, DIRECT, f08c47fec0942fa0
google.com, pub-6796927162393737, DIRECT, f08c47fec0942fa0
google.com, pub-6471043051383295, DIRECT, f08c47fec0942fa0
rubiconproject.com, 15680, DIRECT, 0bfd66d529a55807
contextweb.com, 558092, DIRECT
adtech.com, 10676, DIRECT
aolcloud.net, 10676, DIRECT
EMXDGT.com, 165, DIRECT, 1e1d41537f7cad7f
appnexus.com, 6907, DIRECT
sovrn.com, 223717, DIRECT, fafdf38b16bf6b2b
lijit.com, 223717, DIRECT, fafdf38b16bf6b2b
openx.com, 537120960, RESELLER
openx.com, 83499, RESELLER
openx.com, 538959099, RESELLER
pubmatic.com, 137711, RESELLER
pubmatic.com, 156212, RESELLER
pubmatic.com, 62483, RESELLER
contextweb.com, 558511, RESELLER
Appnexus.com, 1356, DIRECT, f5ab79cb980f11d1
Google.com, pub-5995202563537249, RESELLER, f08c47fec0942fa0
appnexus.com, 3153 , DIRECT
districtm.io, 101054, DIRECT
appnexus.com, 1908, RESELLER
appnexus.com, 7944, RESELLER
google.com, pub-0357813009585200, DIRECT, f08c47fec0942fa0
google.com, pub-7940484522588532, DIRECT, f08c47fec0942fa0
