33across.com, 33, DIRECT
adtech.com, 4900, DIRECT   #2018-06-25
adtech.com, 9513, DIRECT   #2018-06-29
adtech.com, 9993, RESELLER
adtech.com, 10947, RESELLER
advertising.com, 3679, RESELLER    #2018-10-16
advertising.com, 12543, RESELLER    #2018-05-16
advertising.com, 14564, RESELLER    #2018-10-16
amazon.com, 3411, RESELLER
aol.com, 9828, DIRECT   #2018-06-29
aol.com, 19011, RESELLER   #2018-06-25
aolcloud.net, 4900, DIRECT   #2018-06-25
aolcloud.net, 9993, RESELLER
aolcloud.net, 10947, RESELLER
appnexus.com, 1001, RESELLER
appnexus.com, 1356, DIRECT, f5ab79cb980f11d1
appnexus.com, 1356, RESELLER
appnexus.com, 1356, RESELLER, f5ab79cb980f11d1   #2018-04-16
appnexus.com, 1908, RESELLER
appnexus.com, 1908, RESELLER, f5ab79cb980f11d1   #2018-04-16
appnexus.com, 3135, RESELLER
appnexus.com, 3427, DIRECT
appnexus.com, 3538, RESELLER    #2018-10-16
appnexus.com, 3539, RESELLER    #2018-10-16
appnexus.com, 3540, RESELLER    #2018-10-16
appnexus.com, 3623, RESELLER   #2018-06-25
appnexus.com, 7290, RESELLER
appnexus.com, 7556, RESELLER
appnexus.com, 7666, DIRECT, f5ab79cb980f11d   #2018-06-25
appnexus.com, 7944, RESELLER
bidfluence.com, 68e6d75a-8355-4715-a10d-4cdac15190bc, RESELLER
carambo.la, zffd91-112601, DIRECT, 08a6b436f8183ac9
connatix.com, 100137, DIRECT
connatix.com, 100137, DIRECT, 2af98acdee0e81ed    #2018-10-16
connatix.com, 102221, DIRECT   #2018-06-25
contextweb.com, 558511, RESELLER   #2018-04-16
contextweb.com, 560022, DIRECT, 89ff185a4c4e857c
contextweb.com, 560029, DIRECT, 89ff185a4c4e857c
contextweb.com, 560606, RESELLER   #2018-04-16
contextweb.com, 560653, RESELLER
contextweb.com, 561325, DIRECT, 89ff185a4c4e857c
contextweb.com, 561390, DIRECT, 89ff185a4c4e857c
contextweb.com, 561495, DIRECT, 89ff185a4c4e857c
